policy	candidate	theorem_gain	candidate_class	statement_class	kind	module	examples
strict_zero	eq_true	1647	1	0	theorem	Init.SimpLemmas	AbsoluteValue.IsEquiv.le_one_iff;AbsoluteValue.IsEquiv.lt_one_iff;AbsoluteValue.IsEquiv.one_le_iff;AbsoluteValue.IsEquiv.one_lt_iff;AbsoluteValue.listSum_le
strict_zero	eq_self	1461	1	0	theorem	Init.SimpLemmas	AbsoluteValue.IsEquiv.le_one_iff;AbsoluteValue.IsEquiv.lt_one_iff;AbsoluteValue.IsEquiv.one_le_iff;AbsoluteValue.IsEquiv.one_lt_iff;AbsoluteValue.map_one
strict_zero	funext	1435	2	0	theorem	Init.Core	AList.lookup.congr_simp;AbsoluteValue.ext;AbsoluteValue.ext_iff;Action.Hom.comm_assoc;AddActionHom.comp_assoc
strict_zero	Eq.propIntro	905	1	0	theorem	Init.Core	AList.mk.injEq;AbsoluteValue.mk.injEq;Action.Hom.mk.injEq;Action.mk.injEq;AddActionHom.mk.injEq
strict_zero	Classical.propDecidable	366	7	0	definition	Init.Classical	AddMonoid.not_isTorsion_iff;Affine.Simplex.instNonemptyElemComplSetSingletonOfNontrivial;Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;CategoryTheory.ObjectProperty.pair_iff
strict_zero	Set.ext	308	3	0	theorem	Mathlib.Data.Set.Defs	AddAction.fixed_eq_iInter_fixedBy;AddSubmonoid.ext;AddSubmonoid.ext_iff;AddSubmonoid.map_id;AddSubsemigroup.ext
strict_zero	forall_congr	286	2	0	theorem	Init.SimpLemmas	Action.Hom.comm_assoc;Bimod.Hom.left_act_hom_assoc;Bimod.Hom.right_act_hom_assoc;Bimod.actRight_one_assoc;Bimod.left_assoc_assoc
strict_zero	Function.LeftInverse.eq_rightInverse	284	2	0	theorem	Mathlib.Logic.Function.Basic	AddChar.map_nsmul_eq_pow;AddChar.map_zsmul_eq_zpow;AddEquiv.isAddCyclic;AddOpposite.exists;AddOpposite.forall
strict_zero	EquivLike.toFunLike	282	2	0	definition	Mathlib.Data.FunLike.Equiv	AddChar.map_nsmul_eq_pow;AddChar.map_zsmul_eq_zpow;AddEquiv.isAddCyclic;AddOpposite.exists;AddOpposite.forall
strict_zero	EquivLike.toFunLike._proof_1	282	2	0	theorem	Mathlib.Data.FunLike.Equiv	AddChar.map_nsmul_eq_pow;AddChar.map_zsmul_eq_zpow;AddEquiv.isAddCyclic;AddOpposite.exists;AddOpposite.forall
strict_zero	DFunLike.ext	243	2	0	theorem	Mathlib.Data.FunLike.Basic	AbsoluteValue.ext;AbsoluteValue.ext_iff;AddActionHom.comp_assoc;AddActionHom.ext;AddActionHom.ext_iff
strict_zero	Set.instCompleteAtomicBooleanAlgebra	198	7	0	definition	Mathlib.Data.Set.BooleanAlgebra	AddAction.IsFixedBlock.isInvariantBlock;AddGroup.addConjugatesOfSet_mono;BddAbove.of_closure;BddBelow.of_closure;CantorScheme.ClosureAntitone.antitone
strict_zero	lt_or_eq_of_le	137	7	0	theorem	Mathlib.Order.Defs.PartialOrder	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Concept.isLowerSet_extent_lt;Concept.isUpperSet_intent_lt;ConvexCone.convex
strict_zero	eq_or_lt_of_le	123	7	0	theorem	Mathlib.Order.Basic	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Concept.isLowerSet_extent_lt;Concept.isUpperSet_intent_lt;ConvexCone.convex
strict_zero	LE.le.eq_or_lt	117	7	0	theorem	Mathlib.Order.Basic	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Concept.isLowerSet_extent_lt;Concept.isUpperSet_intent_lt;ConvexCone.convex
strict_zero	Set.instDistribLattice	92	3	0	definition	Mathlib.Data.Set.Basic	AddAction.fixedBy_zero_eq_univ;AddAction.orbit_eq_univ;Class.eq_univ_iff_forall;Class.eq_univ_of_forall;ConnectedComponents.range_coe
